SOURCE NODE ID,TARGET NODE ID,SOURCE SCENE ID,TARGET SCENE ID
"271","259","216","215"
"271","272","216","217"
"272","269","217","218"
"272","271","217","216"
"273","257","220","221"
"273","257","220","219"
"274","257","222","221"
"274","269","222","223"
"275","269","224","223"
"275","276","224","225"
"276","275","225","224"
"276","277","225","226"
"276","280","232","231"
"276","281","233","234"
"277","257","226","227"
"277","276","226","225"
"278","257","228","227"
"278","279","228","229"
"279","215","229","230"
"279","278","229","228"
"280","215","231","230"
"280","276","231","232"
"281","276","234","233"
"281","282","234","235"
"282","213","242","241"
"282","215","247","248"
"282","215","242","243"
"282","215","244","243"
"282","215","235","236"
"282","215","247","246"
"282","255","239","238"
"282","281","235","234"
"282","284","239","240"
"282","285","244","245"
"283","215","237","236"
"283","255","237","238"
"284","213","240","241"
"284","282","240","239"
"285","215","245","246"
"285","282","245","244"
"286","215","249","248"
"286","287","249","250"
"287","189","257","256"
"287","189","259","258"
"287","189","257","258"
"287","215","250","251"
"287","215","259","260"
"287","286","250","249"
"288","189","271","270"
"288","215","271","272"
"289","215","273","272"
"289","215","273","274"
"289","215","275","274"
"289","290","275","276"
"290","289","276","275"
"290","291","276","277"
"291","290","277","276"
