DIALOGUE ID,START TIME,END TIME
"290","02:00:19","02:00:23"
"291","02:00:19","02:00:23"
"292","02:00:19","02:00:23"
"293","02:00:19","02:00:23"
"294","02:00:19","02:00:23"
"295","02:00:19","02:00:23"
"296","02:00:19","02:00:23"
"297","02:00:19","02:00:23"
"298","02:00:19","02:00:23"
"299","02:00:19","02:00:23"
"300","02:00:19","02:00:23"
"301","02:00:19","02:00:23"
"302","02:00:19","02:00:23"
"303","02:00:19","02:00:23"
"304","02:00:19","02:00:23"
"305","02:00:19","02:00:23"
"306","02:00:19","02:00:23"
"307","02:00:19","02:00:23"
"308","02:00:19","02:00:23"
"309","02:00:19","02:00:23"
"310","02:00:19","02:00:23"
"311","02:00:19","02:00:23"
"312","02:00:19","02:00:23"
"313","02:00:19","02:00:23"
"314","02:00:19","02:00:23"
"315","02:00:19","02:00:23"
"316","02:00:19","02:00:23"
"317","02:00:19","02:00:23"
"318","02:00:19","02:00:23"
"319","02:00:19","02:00:23"
"320","02:00:19","02:00:23"
"321","02:00:19","02:00:23"
"322","02:00:19","02:00:23"
"323","02:00:19","02:00:23"
"324","02:00:19","02:00:23"
"325","02:00:19","02:00:23"
"326","02:00:19","02:00:23"
"327","02:00:19","02:00:23"
"328","02:00:19","02:00:23"
"329","02:00:19","02:00:23"
"330","02:00:19","02:00:23"
"331","02:00:19","02:00:23"
"332","02:00:19","02:00:23"
"333","02:00:19","02:00:23"
"334","02:00:19","02:00:23"
"335","02:00:19","02:00:23"
"336","02:00:19","02:00:23"
"337","02:00:19","02:00:23"
"338","02:00:19","02:00:23"
"339","02:00:19","02:00:23"
"340","02:00:19","02:00:23"
"341","02:00:19","02:00:23"
"342","02:00:19","02:00:23"
"343","02:00:19","02:00:23"
"344","02:00:19","02:00:23"
"345","02:00:19","02:00:23"
"346","02:00:19","02:00:23"
"347","02:00:19","02:00:23"
"348","02:00:19","02:00:23"
"349","02:00:19","02:00:23"
"350","02:00:19","02:00:23"
"351","02:00:19","02:00:23"
"352","02:00:19","02:00:23"
"353","02:00:19","02:00:23"
"354","02:00:19","02:00:23"
"355","02:00:19","02:00:23"
"356","02:00:19","02:00:23"
"357","02:00:19","02:00:23"
"358","02:00:19","02:00:23"
"359","02:00:19","02:00:23"
"360","02:00:19","02:00:23"
"361","02:00:19","02:00:23"
"362","02:00:19","02:00:23"
"363","02:00:19","02:00:23"
"364","02:00:19","02:00:23"
"365","02:00:19","02:00:23"
"366","02:00:19","02:00:23"
"367","02:00:19","02:00:23"
"368","02:00:19","02:00:23"
"369","02:00:19","02:00:23"
"370","02:00:19","02:00:23"
"371","02:00:19","02:00:23"
"372","02:00:19","02:00:23"
"373","02:00:19","02:00:23"
"374","02:00:19","02:00:23"
"375","02:00:19","02:00:23"
"376","02:00:19","02:00:23"
"377","02:00:19","02:00:23"
"378","02:00:19","02:00:23"
"379","02:00:19","02:00:23"
"380","02:00:19","02:00:23"
"381","02:00:19","02:00:23"
"382","02:00:19","02:00:23"
"383","02:00:19","02:00:23"
"384","02:00:19","02:00:23"
"385","02:00:19","02:00:23"
"386","02:00:19","02:00:23"
"387","02:00:19","02:00:23"
"388","02:00:19","02:00:23"
"389","02:00:19","02:00:23"
"390","02:00:19","02:00:23"
"391","02:00:19","02:00:23"
"392","02:00:19","02:00:23"
"393","02:00:19","02:00:23"
"394","02:00:19","02:00:23"
"395","02:00:19","02:00:23"
"396","02:00:19","02:00:23"
"397","02:00:19","02:00:23"
"398","02:00:19","02:00:23"
"399","02:00:19","02:00:23"
"400","02:00:19","02:00:23"
"401","02:00:19","02:00:23"
"402","02:00:19","02:00:23"
"403","02:00:19","02:00:23"
"404","02:00:19","02:00:23"
"405","02:00:19","02:00:23"
"406","02:00:19","02:00:23"
"407","02:00:19","02:00:23"
"408","02:00:19","02:00:23"
"409","02:00:19","02:00:23"
"410","02:00:19","02:00:23"
"411","02:00:19","02:00:23"
"412","02:00:19","02:00:23"
"413","02:00:19","02:00:23"
"414","02:00:19","02:00:23"
"415","02:00:19","02:00:23"
"416","02:00:19","02:00:23"
"417","02:00:19","02:00:23"
"418","02:00:19","02:00:23"
"419","02:00:19","02:00:23"
"420","02:00:19","02:00:23"
"421","02:00:19","02:00:23"
"422","02:00:19","02:00:23"
"423","02:00:19","02:00:23"
"424","02:00:19","02:00:23"
"425","02:00:19","02:00:23"
"426","02:00:19","02:00:23"
"427","02:00:19","02:00:23"
"428","02:00:19","02:00:23"
"429","02:00:19","02:00:23"
"430","02:00:19","02:00:23"
"431","02:00:19","02:00:23"
"432","02:00:19","02:00:23"
"433","02:00:19","02:00:23"
"434","02:00:19","02:00:23"
"435","02:00:19","02:00:23"
"436","02:00:19","02:00:23"
"437","02:00:19","02:00:23"
"438","02:00:19","02:00:23"
"439","02:00:19","02:00:23"
"440","02:00:19","02:00:23"
"441","02:00:19","02:00:23"
"442","02:00:19","02:00:23"
"443","02:00:19","02:00:23"
"444","02:00:19","02:00:23"
"445","02:00:19","02:00:23"
"446","02:00:19","02:00:23"
"447","02:00:19","02:00:23"
"448","02:00:19","02:00:23"
"449","02:00:19","02:00:23"
"450","02:00:19","02:00:23"
"451","02:00:19","02:00:23"
"452","02:00:19","02:00:23"
"453","02:00:19","02:00:23"
"454","02:00:19","02:00:23"
"455","02:00:19","02:00:23"
"456","02:00:19","02:00:23"
"457","02:00:19","02:00:23"
"458","02:00:19","02:00:23"
"459","02:00:19","02:00:23"
"460","02:00:19","02:00:23"
"461","02:00:19","02:00:23"
"462","02:00:19","02:00:23"
"463","02:00:19","02:00:23"
"464","02:00:19","02:00:23"
"465","02:00:19","02:00:23"
"466","02:00:19","02:00:23"
"467","02:00:19","02:00:23"
"468","02:00:19","02:00:23"
"469","02:00:19","02:00:23"
"470","02:00:19","02:00:23"
"471","02:00:19","02:00:23"
